User ID,Allocation Status,Slice,Ground Truth,Intent Correct,CQI,Bandwidth (MHz),Rate (Mbps),Latency (ms),Adjustments Made,eMBB Total Rate Before (Mbps),eMBB Total Rate After (Mbps),URLLC Total Rate Before (Mbps),URLLC Total Rate After (Mbps),mMTC Total Rate Before (Mbps),mMTC Total Rate After (Mbps),Avg Resource Util Before (%),Avg Resource Util After (%),Request
1,Success,URLLC,URLLC,Yes,7,5,38.95,5,No,0,0,0,38.95,0,0,0,3.85,I need to synchronize distributed financial ledgers instantly
2,Success,eMBB,eMBB,Yes,7,15,116.85,40,No,0,116.85,38.95,38.95,0,0,3.85,15.38,I want to use augmented reality navigation
3,Success,eMBB,eMBB,Yes,10,20,208.28,50,No,116.85,325.13,38.95,38.95,0,0,15.38,30.77,I want to listen to low-quality audio streaming
4,Success,eMBB,eMBB,Yes,8,15,129.58,50,No,325.13,454.71,38.95,38.95,0,0,30.77,42.31,I need to participate in a video conference meeting
5,Success,URLLC,URLLC,Yes,9,4,38.06,5,No,454.71,454.71,38.95,77.01,0,0,42.31,45.38,I need to deploy early warning systems for natural disasters
6,Success,mMTC,mMTC,Yes,7,0.9,7.01,1000,No,454.71,454.71,77.01,77.01,0,7.01,45.38,46.08,My smart trash can needs to signal that it's full
7,Success,eMBB,eMBB,Yes,8,20,172.78,80,No,454.71,627.49,77.01,77.01,7.01,7.01,46.08,61.46,I need to download large files
8,Success,mMTC,mMTC,Yes,7,0.9,7.01,500,No,627.49,627.49,77.01,77.01,7.01,14.02,61.46,62.15,I need to check the status of my smart home sensors
9,Success,URLLC,URLLC,Yes,7,5,38.95,5,No,627.49,627.49,77.01,115.96,14.02,14.02,62.15,66,I need microsecond-level latency for high-frequency tradin
10,Success,eMBB,eMBB,Yes,10,20,208.28,80,No,627.49,835.77,115.96,115.96,14.02,14.02,66,81.38,I need to download large files
